ESG,Shrinkage,Max Weight,Cumulative Return,Volatility,Sharpe Ratio,Calmar Ratio
0.0,0.1,0.05,1.1032050228441452,0.14447592567028966,0.7143406236390603,1.9474655277529889
0.0,0.1,0.07,1.2810545730163945,0.13882154919132847,2.0245745322221964,6.265573681652716
0.0,0.1,0.1,1.5048246055819987,0.13412382094942588,3.763869848088753,13.308529939378754
0.0,0.2,0.05,1.119171312234305,0.14479114754772815,0.8230566181197094,2.251605894962461
0.0,0.2,0.07,1.2830588594969892,0.13905884463913112,2.0355329445714125,6.304480375326497
0.0,0.2,0.1,1.5154329198230632,0.13434063549811925,3.8367610657184894,13.551559503809086
0.0,0.3,0.05,1.1407555944329395,0.14515464645464995,0.969694032336162,2.66426677862572
0.0,0.3,0.07,1.2818718141237244,0.13937148656911827,2.0224496492253183,6.26243609200899
0.0,0.3,0.1,1.5269581339606138,0.13457921008131174,3.915598357593492,13.809980137833413
0.1,0.1,0.05,3.719599846648397,0.17274719456183443,15.743235967139963,39.73719876827353
0.1,0.1,0.07,3.9555075385803073,0.17351001789092274,17.033642060012294,44.03584242734408
0.1,0.1,0.1,3.24112232881448,0.1753852451103131,12.77828318684886,32.27062204222509
0.1,0.2,0.05,3.8672874298427264,0.17346758208475857,16.52924076869724,41.68066601999248
0.1,0.2,0.07,4.065513527744461,0.17686860740156493,17.332151662078033,43.97614158147063
0.1,0.2,0.1,3.4196965818303715,0.1782660188367836,13.573515567460962,34.30669495479751
0.1,0.3,0.05,4.020644210981325,0.17437900955565633,17.322292509163663,43.43657189345229
0.1,0.3,0.07,4.254385431707675,0.18032545291459132,18.04728827299311,45.50174451364929
0.1,0.3,0.1,3.66241364745581,0.18080953232907565,14.724962855443835,37.07945511700815
0.2,0.1,0.05,4.520079014256347,0.18173627270826695,19.36916038718903,48.69207335749185
0.2,0.1,0.07,4.974748152489674,0.18791113042917224,21.15227630961351,53.103817155520765
0.2,0.1,0.1,4.322471949740685,0.19299341590501476,17.215467865369565,38.82495467237944
0.2,0.2,0.05,4.606862981965208,0.1823156090545171,19.78362138420448,50.16459828861505
0.2,0.2,0.07,5.344716682750947,0.18930208321670933,22.951235448250195,56.891573159485155
0.2,0.2,0.1,4.558368629831835,0.1945420905285009,18.290996154945326,40.854860259384786
0.2,0.3,0.05,4.681550707339646,0.1830125342289783,20.11638559539004,50.89795026322537
0.2,0.3,0.07,5.716397864628731,0.19071731804613376,24.729782868946664,60.37225739315699
0.2,0.3,0.1,4.866421035917338,0.19628181118465318,19.698315460722856,43.41912519243155
0.5,0.1,0.05,5.247497185090526,0.1857832267927513,22.862651588180135,55.73261769039242
0.5,0.1,0.07,6.8282490337611685,0.19656486044694935,29.65051342599532,71.67915220343366
0.5,0.1,0.1,6.556060473698912,0.20901262956885688,26.582415068217347,60.037282227880326
0.5,0.2,0.05,5.324771900349579,0.18597287212907654,23.254853521582024,56.4844135096614
0.5,0.2,0.07,6.9174277706176275,0.19681675697412787,30.065670533304694,72.91893102563398
0.5,0.2,0.1,6.74170089237388,0.20977666157859018,27.370541838005295,61.933682604331956
0.5,0.3,0.05,5.414534922100825,0.18616370130290255,23.71318839926823,57.27366039161298
0.5,0.3,0.07,6.950162070490898,0.19694711295074166,30.211979151880687,73.43915961519124
0.5,0.3,0.1,7.003736191833248,0.21085603857722382,28.473152736550357,64.65891711155656
1.0,0.1,0.05,5.775189803288691,0.18738130694034363,25.4838109588432,60.39005157173771
1.0,0.1,0.07,6.983115265320545,0.19729566902927373,30.325629015367795,74.00010064791773
1.0,0.1,0.1,7.453251732541419,0.21288205264953472,30.313742526549824,69.17875480801125
1.0,0.2,0.05,5.8240726015657724,0.18776970329698958,25.691432200516847,60.71218094891817
1.0,0.2,0.07,6.960457082400868,0.19730818799094255,30.208868385505035,73.72697276405452
1.0,0.2,0.1,7.529972792982474,0.2135313866030116,30.580856973137724,69.78829386105451
1.0,0.3,0.05,5.86458090341826,0.18803292859726425,25.870898994704252,61.036360232826034
1.0,0.3,0.07,6.93064423151545,0.19733388721008838,30.053856007009504,73.35646822122266
1.0,0.3,0.1,7.620924217904815,0.2143765194131898,30.8845587941636,70.48131058939327
