,Equal Weighted,Optimized ESG (tau=0.1),Optimized ESG (tau=0.5)
003670,0.017241379310344827,0.0,3.47805093387399e-06
139480,0.017241379310344827,1.970486789614054e-05,0.0
111770,0.017241379310344827,0.0,4.55841529421954e-06
073240,0.017241379310344827,2.1059626564167974e-05,0.0
004370,0.017241379310344827,0.40428829270166905,0.4040821660168172
006400,0.017241379310344827,1.4181861588677304e-05,0.0
055550,0.017241379310344827,1.0472013752257651e-06,0.0
036460,0.017241379310344827,0.0,1.4149031231021566e-06
030200,0.017241379310344827,2.032465903592216e-05,0.0
028670,0.017241379310344827,0.0,4.460278008203995e-06
021240,0.017241379310344827,0.0,6.613608254046325e-07
009150,0.017241379310344827,0.0,5.275186167869735e-07
011200,0.017241379310344827,6.180151324023161e-06,0.0
001740,0.017241379310344827,5.743209380895612e-06,0.0
282330,0.017241379310344827,0.0,2.595577116937645e-07
128940,0.017241379310344827,2.0817198383481216e-05,0.0
078930,0.017241379310344827,0.0,1.3225249464277e-06
023530,0.017241379310344827,0.0,2.4588495139476355e-06
251270,0.017241379310344827,1.689938513549689e-05,0.0
007070,0.017241379310344827,0.0,5.081348944418683e-07
012330,0.017241379310344827,0.0,7.40249304923749e-07
034220,0.017241379310344827,0.0,6.60234723587391e-07
032640,0.017241379310344827,0.0,7.23397131327072e-07
004990,0.017241379310344827,0.0,2.1649984920996522e-07
018880,0.017241379310344827,9.228870608793435e-06,0.0
005930,0.017241379310344827,2.2703291684436844e-05,0.0
000660,0.017241379310344827,0.0,8.684694001492305e-07
207940,0.017241379310344827,2.7480365693588897e-05,0.0
005380,0.017241379310344827,1.8752155604420842e-08,0.0
000270,0.017241379310344827,0.0,9.755848612728984e-07
068270,0.017241379310344827,3.7660722068503976e-05,0.0
005490,0.017241379310344827,2.0496860533010465e-05,0.0
051910,0.017241379310344827,8.173304398221257e-09,0.0
035420,0.017241379310344827,8.791395238161768e-06,1.319479097846477e-07
028260,0.017241379310344827,2.830034026323876e-06,0.0
105560,0.017241379310344827,2.2441736336198724e-08,0.0
035720,0.017241379310344827,3.430497551509174e-05,0.0
032830,0.017241379310344827,1.5744639014606558e-09,0.0
086790,0.017241379310344827,1.059025266513284e-08,0.0
066570,0.017241379310344827,1.9104647821570502e-05,0.0
018260,0.017241379310344827,0.0,3.3093763316598825e-06
017670,0.017241379310344827,0.5960107400712334,0.5959104810632552
096770,0.017241379310344827,0.0,5.2106009405625e-06
316140,0.017241379310344827,5.8374392100097354e-08,0.0
012450,0.017241379310344827,0.0,2.287171349466156e-06
010130,0.017241379310344827,1.6052758296926724e-05,0.0
010950,0.017241379310344827,1.3592951193436773e-05,0.0
003490,0.017241379310344827,0.0,1.407081806675895e-06
010140,0.017241379310344827,0.0,2.596497677704137e-06
090430,0.017241379310344827,2.34406822811947e-05,0.0
161390,0.017241379310344827,0.0,1.3990699276829133e-06
051900,0.017241379310344827,3.821216562492033e-05,0.0
097950,0.017241379310344827,0.0,3.469644496004181e-06
036570,0.017241379310344827,0.0,1.0113220315780372e-06
011780,0.017241379310344827,0.0,3.398423121468881e-06
004800,0.017241379310344827,1.046142499376111e-06,0.0
KOSPI,0.017241379310344827,,
ESG_ETF,0.017241379310344827,,
